,breadcrumb,id,itemType,ldap,menuGroupId,menuId,menuItemId
2014-10-30 15:17:00,BPC - The Owl > Deal Insights > Metrics By Deal Activity > [Beta] Descriptive Statistics,2231477,abi_report,jvarciag,1557,32,7106
2014-10-30 15:21:10,BPC - The Owl > Deal Insights > Metrics By Deal Activity > [Beta] Descriptive Statistics,2231522,abi_report,jvarciag,1557,32,7106
2014-10-30 15:24:34,BPC - The Owl > Deal Insights > Metrics By Deal Approver  >  TAT Summary  ,2231581,abi_report,jvarciag,1557,32,7108
2014-10-30 15:32:34,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography Summary,2231663,abi_report,jvarciag,1557,32,7110
2014-10-30 15:34:07,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography - Unified Detail,2231689,abi_report,jvarciag,1557,32,7111
2014-10-30 15:35:04,BPC - The Owl > RMC Internal Insights > Users & Training > D2 Training,2231705,abi_report,psawyer,1558,32,7123
2014-10-30 15:35:39,BPC - The Owl > RMC Internal Insights > gCases Queries > Summary of All Cases,2231712,abi_report,psawyer,1558,32,7125
2014-10-30 15:37:08,BPC - The Owl > RMC Internal Insights > gCases Queries > Queue Management > Volume,2231746,abi_report,psawyer,1558,32,7127
2014-10-30 15:38:29,BPC - The Owl > RMC Internal Insights > gCases Queries > Queue Management > Efficiency,2231775,abi_report,psawyer,1558,32,7128
2014-10-30 15:39:04,BPC - The Owl > RMC Internal Insights > gCases Queries > CIR Metrics,2231781,abi_report,psawyer,1558,32,7129
2014-10-30 15:39:28,BPC - The Owl > RMC Internal Insights > gCases Queries > Summary By Requestor,2231790,abi_report,psawyer,1558,32,7130
2014-10-30 15:41:52,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography - Unified Detail,2231818,abi_report,jvarciag,1557,32,7111
2014-10-30 15:54:58,BPC - The Owl > RMC Internal Insights > gCases Queries > Summary By HotKey,2231951,abi_report,psawyer,1558,32,7131
2014-10-30 15:55:55,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,2231971,abi_report,psawyer,1558,32,7133
2014-10-30 15:56:43,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Answers/Usage,2231981,abi_report,psawyer,1558,32,7134
2014-10-30 16:02:37,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Accountability Summary,2232064,abi_report,jvarciag,1557,32,7112
2014-10-30 16:12:32,BPC - The Owl > Deal Insights > Metrics by Deal Stage > [Beta] Descriptive Statistics,2232147,abi_report,jvarciag,1557,32,7115
2014-10-30 16:13:23,BPC - The Owl > Deal Insights > Metrics for Sales  > Detail Data,2232154,abi_report,jvarciag,1557,32,7117
2014-10-30 16:45:10,BPC - The Owl > Deal Insights > Legal Deals and Misc > Detail Data,2232452,abi_report,jvarciag,1557,32,7119
2014-10-30 16:54:04,BPC - The Owl > RMC Internal Insights > Users & Training > BPC Quiz Coverage,2232513,abi_report,jvarciag,1558,32,7121
2014-10-30 16:55:36,BPC - The Owl > RMC Internal Insights > Users & Training > Quizzes,2232528,abi_report,jvarciag,1558,32,7122
2014-10-30 16:56:16,BPC - The Owl > RMC Internal Insights > Users & Training > D2 Training,2232534,abi_report,jvarciag,1558,32,7123
2014-10-30 16:57:30,BPC - The Owl > RMC Internal Insights > gCases Queries > Summary of All Cases,2232549,abi_report,jvarciag,1558,32,7125
2014-10-30 16:58:18,BPC - The Owl > RMC Internal Insights > gCases Queries > Queue Management > Volume,2232572,abi_report,jvarciag,1558,32,7127
2014-10-30 16:59:22,BPC - The Owl > RMC Internal Insights > gCases Queries > Queue Management > Efficiency,2232595,abi_report,jvarciag,1558,32,7128
2014-10-30 17:05:54,BPC - The Owl > RMC Internal Insights > gCases Queries > CIR Metrics,2232671,abi_report,jvarciag,1558,32,7129
2014-10-30 17:09:52,BPC - The Owl > Home,2232725,editable_area,goodson,225,32,0
2014-10-30 17:09:57,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2232726,abi_report,goodson,1557,32,7102
